Platform,Global_Sales
Wii,82.74
NES,40.24
Wii,35.82
Wii,33
GB,31.37
GB,30.26
DS,30.01
Wii,29.02
Wii,28.62
NES,28.31
DS,24.76
DS,23.42
GB,23.1
Wii,22.72
Wii,22
X360,21.82
PS3,21.4
PS2,20.81
SNES,20.61
DS,20.22
DS,18.36
GB,18.14
NES,17.28
X360,16.38
PS2,16.15
GBA,15.85
DS,15.32
DS,15.3
PS2,14.98
X360,14.76
GB,14.64
X360,14.64
3DS,14.35
PS4,14.24
PS3,14.03
X360,13.73
X360,13.51
PS3,13.46
PS2,13.1
Wii,13.04
PS3,12.73
DS,12.27
3DS,12.21
X360,12.14
PS4,11.98
DS,11.9
N64,11.89
PS2,11.66
Wii,11.52
3DS,11.33
GB,11.18
X360,11.02
PS,10.95
3DS,10.79
PS3,10.77
PS3,10.69
PS3,10.57
SNES,10.55
GBA,10.49
DS,10.42
Wii,10.26
X360,10.21
X360,9.88
N64,9.87
3DS,9.82
X360,9.76
PS,9.72
PS3,9.59
Wii,9.52
PS,9.49
X360,9.32
SNES,9.3
X360,9.2
3DS,9.09
DS,9.02
X360,8.84
SNES,8.76
PS4,8.49
Wii,8.49
XB,8.49
Wii,8.42
DS,8.33
PS3,8.24
PC,8.11
N64,8.09
Wii,8.06
PS2,8.05
PS,7.86
DS,7.84
2600,7.81
PSP,7.72
Wii,7.69
PS4,7.67
PS4,7.6
N64,7.6
PS,7.58
NES,7.46
3DS,7.45
X360,7.37
X360,7.34
Wii,7.31
XOne,7.3
Wii,7.27
PS3,7.23
PS2,7.2
PS,7.16
PS,7.13
GC,7.07
WiiU,6.96
PS4,6.96
GC,6.95
Wii,6.91
PS3,6.9
PS2,6.9
PS2,6.83
PS3,6.83
PS,6.82
Wii,6.81
X360,6.76
PS3,6.73
PS3,6.72
PS3,6.69
DS,6.67
PS3,6.6
PS4,6.59
Wii,6.59
PS3,6.56
NES,6.51
PS3,6.5
XB,6.43
GBA,6.41
PS2,6.4
GB,6.39
X360,6.36
X360,6.34
GC,6.31
SNES,6.3
PC,6.28
PS,6.27
X360,6.24
X360,6.24
X360,6.11
PS2,6.05
GEN,6.03
PS3,6.03
PS,6.03
PS3,5.99
PS2,5.95
PS3,5.92
DS,5.84
Wii,5.83
PS,5.82
PS,5.74
DS,5.72
PS4,5.65
NES,5.58
PS3,5.57
N64,5.55
X360,5.55
PS3,5.53
X360,5.51
PSP,5.5
GBA,5.49
GBA,5.47
GBA,5.46
N64,5.45
PS3,5.43
PS2,5.42
PS3,5.42
PS3,5.36
GB,5.34
GB,5.31
X360,5.3
PS,5.3
PS2,5.29
N64,5.27
X360,5.27
DS,5.26
PS,5.24
PS2,5.23
PS2,5.21
PC,5.2
GBA,5.2
WiiU,5.19
GB,5.19
X360,5.18
DS,5.17
SNES,5.15
3DS,5.15
DS,5.14
PS2,5.13
GB,5.13
X360,5.13
XOne,5.13
PC,5.12
PS2,5.12
PS3,5.11
XOne,5.08
PSP,5.08
PS3,5.08
GB,5.07
PS,5.05
PS,5.02
WiiU,5.02
PS,5.01
PS,5
Wii,5
PS2,4.98
X360,4.96
DS,4.96
PS3,4.94
PS2,4.91
DS,4.9
N64,4.88
PSP,4.87
NES,4.85
PS3,4.84
PC,4.83
PS3,4.83
PS3,4.82
PS,4.79
PS4,4.77
X360,4.76
PS,4.73
PS2,4.7
PS,4.68
Wii,4.68
PS2,4.67
X360,4.64
PS,4.63
Wii,4.62
SNES,4.61
GC,4.6
Wii,4.58
3DS,4.58
WiiU,4.57
PS4,4.55
X360,4.53
PS2,4.53
2600,4.5
PS2,4.49
PS2,4.48
PS,4.47
PS4,4.47
PS3,4.45
PS2,4.45
WiiU,4.44
Wii,4.42
PS2,4.41
PS2,4.39
X360,4.39
NES,4.38
PS2,4.37
PS3,4.35
GEN,4.34
PS2,4.33
X360,4.31
X360,4.31
2600,4.31
X360,4.31
XOne,4.26
WiiU,4.25
PS3,4.25
PS3,4.24
GBA,4.24
PS2,4.23
PSP,4.22
PC,4.21
3DS,4.21
PS2,4.21
PS2,4.2
PS4,4.2
PS3,4.2
X360,4.19
PS3,4.19
X360,4.19
NES,4.17
NES,4.16
PS,4.16
PS2,4.14
PS4,4.14
PC,4.12
SNES,4.12
PS2,4.11
Wii,4.1
SNES,4.1
Wii,4.1
XOne,4.09
PC,4.09
X360,4.08
PS2,4.07
X360,4.06
PS2,4.06
PS,4.05
PS2,4.05
PS4,4.03
N64,4.03
PS4,4.02
NES,4.01
PS3,4.01
DS,4
X360,3.99
PS2,3.98
Wii,3.92
PS4,3.92
GB,3.91
PS2,3.9
PS3,3.89
3DS,3.89
PS3,3.88
PC,3.88
PS2,3.87
NES,3.87
PS3,3.87
PS4,3.85
PS2,3.85
DS,3.84
PS,3.84
GB,3.83
DS,3.83
Wii,3.82
3DS,3.81
PS4,3.79
Wii,3.78
X360,3.78
PS,3.77
PSP,3.77
Wii,3.76
PC,3.76
Wii,3.76
PS,3.73
PS4,3.73
PS,3.72
PS,3.71
PS2,3.7
GB,3.7
PS3,3.69
DS,3.69
DS,3.67
PS2,3.67
PSP,3.66
N64,3.65
PS2,3.65
Wii,3.65
PS3,3.64
PS2,3.64
N64,3.63
PS3,3.63
PS2,3.63
PS4,3.63
PS2,3.62
PS4,3.61
PS2,3.61
PC,3.61
PS2,3.61
DS,3.61
GC,3.6
PS2,3.59
PS,3.58
PS,3.56
PS2,3.54
PS2,3.54
PS,3.54
PS2,3.53
PS2,3.53
X360,3.53
X360,3.53
PS,3.52
PS,3.52
X360,3.52
DS,3.52
X360,3.51
SNES,3.51
X360,3.5
NES,3.5
X360,3.5
DS,3.5
PS2,3.49
XOne,3.49
X360,3.48
DS,3.48
XOne,3.46
PS3,3.45
3DS,3.44
X360,3.44
PS2,3.44
PS4,3.43
PS3,3.42
PS,3.42
